Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results
Sports,SKU12918,156,In Stock,851,16709,Teen,191,22,94,2,FedEx,94.1,Prime Distributors,China,7592,56,959,Pass
Toys,SKU12919,56,In Stock,555,17558,Senior,39,24,60,3,Aramex,79.23,FastTrack Ltd.,China,675,51,7886,Recheck
Clothing,SKU12920,202,In Stock,606,21971,Senior,353,17,92,4,DHL,77.01,Prime Distributors,Germany,3628,50,8416,Pass
Home,SKU12921,314,In Stock,631,41254,Adult,100,10,78,7,DHL,9.51,Prime Distributors,China,1740,13,6246,Recheck
Clothing,SKU12922,232,Out of Stock,592,45583,Senior,396,8,30,7,DHL,33.15,Global Supplies Inc.,Germany,3684,28,5601,Fail
Home,SKU12923,353,Out of Stock,633,9621,Teen,128,8,93,4,Aramex,11.73,SupplyHub,USA,8251,31,8047,Pass
Home,SKU12924,170,Limited,816,40055,Adult,180,9,48,3,FedEx,24.39,MegaCorp,China,4829,2,5955,Pass
Electronics,SKU12925,108,In Stock,678,2112,Senior,169,18,85,1,UPS,89.68,Global Supplies Inc.,Germany,4988,2,3705,Recheck
Toys,SKU12926,306,Limited,332,22175,Adult,135,27,16,6,DHL,65.21,SupplyHub,Germany,4521,1,2242,Recheck
Sports,SKU12927,100,In Stock,257,3149,Adult,375,21,12,1,Aramex,7.11,FastTrack Ltd.,India,7280,20,4234,Recheck
Clothing,SKU12928,282,In Stock,204,8245,Senior,350,8,83,5,FedEx,58.89,SupplyHub,Egypt,2120,48,1376,Pass
Sports,SKU12929,64,In Stock,723,44025,Senior,19,4,98,4,FedEx,9.14,MegaCorp,China,4734,18,8709,Recheck
Toys,SKU12930,376,In Stock,153,25166,Teen,381,26,82,2,FedEx,29.04,Global Supplies Inc.,India,9630,6,4235,Fail
Clothing,SKU12931,373,Out of Stock,996,30839,Adult,251,28,62,13,FedEx,33.63,Prime Distributors,Egypt,4634,1,1578,Fail
Sports,SKU12932,239,Out of Stock,636,8910,Adult,488,5,90,2,Aramex,87.27,MegaCorp,China,498,29,6063,Fail
Clothing,SKU12933,436,In Stock,700,6800,Teen,190,7,16,9,FedEx,7.38,FastTrack Ltd.,Germany,8185,42,4945,Pass
Sports,SKU12934,154,Limited,350,32290,Senior,216,24,50,9,DHL,32.67,Global Supplies Inc.,USA,2746,22,1355,Recheck
Toys,SKU12935,8,In Stock,216,23081,Adult,160,2,8,5,UPS,25.41,SupplyHub,Germany,6477,51,6048,Recheck
Home,SKU12936,360,In Stock,955,35771,Teen,103,16,40,5,UPS,41.32,MegaCorp,India,3894,5,8294,Fail
Clothing,SKU12937,442,Limited,481,8448,Senior,469,7,98,6,UPS,31.27,Global Supplies Inc.,USA,723,6,5974,Pass
Sports,SKU12938,20,In Stock,651,2721,Teen,407,21,1,12,Aramex,61.42,MegaCorp,China,6074,40,7611,Fail
Electronics,SKU12939,124,Limited,955,39528,Senior,251,11,88,11,FedEx,64.41,SupplyHub,India,1099,55,7793,Pass
Electronics,SKU12940,449,In Stock,315,23680,Teen,304,1,29,6,DHL,70.54,SupplyHub,Germany,1752,49,3956,Pass
Electronics,SKU12941,304,In Stock,986,37473,Senior,375,27,62,13,USPS,95.38,Prime Distributors,USA,1341,1,7117,Fail
Electronics,SKU12942,408,In Stock,4,3786,Teen,318,12,29,1,Aramex,30.35,SupplyHub,Germany,7590,20,2627,Fail
Clothing,SKU12943,227,In Stock,378,38276,Adult,261,29,32,7,USPS,95.17,FastTrack Ltd.,Germany,3941,33,9318,Fail
Sports,SKU12944,71,Out of Stock,551,9648,Senior,5,20,33,3,Aramex,46.23,Global Supplies Inc.,Germany,2150,20,132,Fail
Clothing,SKU12945,112,In Stock,589,13049,Adult,41,15,96,13,USPS,56.18,SupplyHub,Egypt,5174,25,543,Pass
Clothing,SKU12946,319,In Stock,196,35130,Adult,261,8,91,8,USPS,89.37,Global Supplies Inc.,China,3793,2,3055,Pass
Clothing,SKU12947,235,In Stock,269,31911,Senior,391,5,41,9,UPS,76.96,Prime Distributors,Egypt,2736,22,5426,Fail
Sports,SKU12948,188,In Stock,333,37101,Adult,162,3,45,9,FedEx,10.36,Global Supplies Inc.,Germany,3971,45,5903,Pass
Sports,SKU12949,474,Out of Stock,962,38549,Senior,321,23,82,4,DHL,82.75,Global Supplies Inc.,India,4910,51,4628,Recheck
Toys,SKU12950,57,Limited,561,39504,Teen,424,12,43,6,USPS,28.11,Prime Distributors,USA,3144,59,2858,Recheck
Electronics,SKU12951,391,Limited,461,10567,Teen,311,15,32,1,FedEx,35.91,Global Supplies Inc.,USA,3843,51,8636,Recheck
Home,SKU12952,462,In Stock,649,22472,Adult,0,16,62,3,DHL,59.6,Global Supplies Inc.,Germany,6622,53,1342,Pass
Sports,SKU12953,45,In Stock,485,33698,Teen,476,29,37,9,Aramex,74.27,Prime Distributors,Egypt,7247,49,2844,Pass
Electronics,SKU12954,295,In Stock,333,33668,Adult,24,12,40,6,Aramex,11.0,MegaCorp,China,2649,19,416,Fail
Toys,SKU12955,123,Limited,193,36492,Senior,255,13,46,6,Aramex,23.93,MegaCorp,India,6508,2,7703,Fail
Toys,SKU12956,342,In Stock,731,13156,Teen,367,26,14,10,UPS,58.07,Prime Distributors,Germany,668,19,7790,Fail
Electronics,SKU12957,78,In Stock,478,29230,Adult,197,8,41,7,FedEx,27.15,Global Supplies Inc.,India,9507,7,2390,Fail
Sports,SKU12958,426,Out of Stock,247,47083,Teen,315,26,1,8,DHL,60.49,SupplyHub,China,9126,29,8441,Recheck
Electronics,SKU12959,461,In Stock,189,45459,Adult,117,17,81,8,USPS,19.73,SupplyHub,USA,258,22,8154,Recheck
Toys,SKU12960,415,In Stock,374,36252,Adult,36,23,8,1,DHL,64.23,MegaCorp,China,8153,52,3600,Recheck
Home,SKU12961,32,In Stock,840,14109,Teen,389,24,87,10,UPS,60.13,SupplyHub,India,3332,47,2914,Recheck
Toys,SKU12962,479,In Stock,123,41456,Teen,369,21,37,13,DHL,45.85,FastTrack Ltd.,Egypt,9193,35,5782,Fail
Sports,SKU12963,206,In Stock,979,11960,Senior,246,3,47,5,UPS,65.19,Global Supplies Inc.,China,349,8,1073,Recheck
Electronics,SKU12964,99,Limited,797,35083,Teen,371,29,20,6,Aramex,34.01,Prime Distributors,China,9384,26,4423,Pass
Clothing,SKU12965,88,In Stock,157,48238,Senior,341,12,15,4,DHL,26.05,MegaCorp,USA,6607,27,5060,Pass
Home,SKU12966,160,Out of Stock,149,23457,Teen,228,3,44,10,DHL,19.1,MegaCorp,USA,2876,32,7308,Pass
Electronics,SKU12967,224,In Stock,296,23940,Teen,122,15,1,12,FedEx,25.04,SupplyHub,Egypt,1795,39,3989,Fail
Sports,SKU12968,371,In Stock,870,2188,Senior,334,25,86,12,UPS,33.54,Global Supplies Inc.,China,584,1,9208,Recheck
Sports,SKU12969,44,In Stock,862,17296,Teen,270,5,56,9,FedEx,18.45,SupplyHub,USA,137,56,2606,Recheck
Clothing,SKU12970,371,In Stock,160,14702,Senior,158,14,64,9,USPS,27.64,Prime Distributors,USA,7936,35,9892,Pass
Toys,SKU12971,411,Out of Stock,559,10738,Adult,474,18,63,13,DHL,6.26,Prime Distributors,China,6133,37,4544,Pass
Toys,SKU12972,29,In Stock,622,5950,Adult,190,7,62,5,UPS,61.5,FastTrack Ltd.,Egypt,2252,49,1892,Recheck
Home,SKU12973,95,In Stock,627,15969,Senior,409,9,30,9,Aramex,31.68,FastTrack Ltd.,Egypt,5168,53,8112,Recheck
Clothing,SKU12974,108,In Stock,26,14046,Teen,25,12,61,9,UPS,22.68,MegaCorp,USA,1291,46,9056,Recheck
Sports,SKU12975,38,In Stock,636,24768,Senior,291,9,67,10,UPS,44.4,MegaCorp,USA,6426,6,2169,Fail
Toys,SKU12976,295,In Stock,873,34191,Senior,493,13,52,10,UPS,63.06,SupplyHub,Egypt,7313,5,9152,Fail
Clothing,SKU12977,377,Out of Stock,558,33019,Teen,354,21,13,12,UPS,85.8,Prime Distributors,India,8124,50,5479,Recheck
Home,SKU12978,82,In Stock,182,35965,Senior,403,15,97,9,DHL,78.79,MegaCorp,Germany,9347,11,4710,Fail
Sports,SKU12979,219,Out of Stock,63,46934,Teen,242,15,19,10,USPS,94.02,SupplyHub,India,270,11,4587,Recheck
Electronics,SKU12980,190,In Stock,892,3795,Adult,164,15,85,5,DHL,35.49,FastTrack Ltd.,China,4311,20,1697,Pass
Home,SKU12981,85,Out of Stock,276,15911,Teen,16,29,96,11,Aramex,68.85,Global Supplies Inc.,Egypt,1502,3,3142,Fail
Electronics,SKU12982,442,In Stock,773,47614,Senior,196,18,98,13,USPS,90.15,SupplyHub,Egypt,8529,46,3641,Pass
Electronics,SKU12983,200,In Stock,353,4287,Senior,234,5,19,9,FedEx,77.65,MegaCorp,India,7306,55,8722,Pass
Clothing,SKU12984,487,In Stock,186,33800,Teen,489,28,38,10,USPS,65.56,Global Supplies Inc.,Germany,3419,24,6499,Recheck
Home,SKU12985,496,Limited,694,14267,Senior,476,18,78,3,DHL,98.26,SupplyHub,China,8104,37,8005,Recheck
Home,SKU12986,143,In Stock,273,12268,Senior,187,19,4,9,USPS,13.59,MegaCorp,China,9034,12,4220,Pass
Home,SKU12987,215,Limited,507,28724,Senior,7,22,23,4,FedEx,24.85,SupplyHub,India,9739,45,9876,Recheck
Home,SKU12988,371,In Stock,98,44422,Adult,371,9,44,11,UPS,89.71,SupplyHub,China,7734,41,2557,Recheck
Home,SKU12989,12,In Stock,820,29712,Teen,294,23,24,2,FedEx,94.93,SupplyHub,Germany,7499,23,818,Recheck
Electronics,SKU12990,147,In Stock,164,16005,Teen,481,4,20,4,FedEx,24.04,FastTrack Ltd.,Egypt,100,42,4837,Fail
Sports,SKU12991,218,Out of Stock,311,40732,Teen,53,26,36,11,UPS,35.86,Global Supplies Inc.,India,6695,39,4572,Recheck
Sports,SKU12992,54,Out of Stock,468,46969,Senior,51,27,77,1,Aramex,73.1,MegaCorp,Germany,5474,48,3560,Pass
Toys,SKU12993,453,In Stock,984,33197,Adult,298,7,29,3,Aramex,25.2,FastTrack Ltd.,India,2287,30,5859,Fail
Clothing,SKU12994,206,Limited,692,34427,Teen,296,1,96,3,Aramex,24.07,Global Supplies Inc.,China,3525,7,7751,Fail
Toys,SKU12995,398,In Stock,209,10220,Teen,30,17,10,7,FedEx,77.62,SupplyHub,India,9019,29,6514,Recheck
Electronics,SKU12996,182,Out of Stock,379,4819,Senior,499,28,13,2,DHL,23.87,SupplyHub,China,2788,36,9480,Fail
Clothing,SKU12997,341,In Stock,971,40361,Teen,277,22,24,5,UPS,52.38,MegaCorp,China,5534,25,6775,Fail
Clothing,SKU12998,225,Out of Stock,616,31090,Adult,305,22,60,2,FedEx,21.35,Prime Distributors,India,6078,42,1896,Pass
Sports,SKU12999,143,Limited,728,11329,Senior,336,4,52,3,USPS,82.76,SupplyHub,USA,586,34,3246,Fail
Sports,SKU13000,172,In Stock,297,47246,Senior,234,20,61,3,FedEx,6.03,Prime Distributors,China,8701,15,221,Fail
Clothing,SKU13001,19,In Stock,43,31154,Adult,349,21,25,13,UPS,25.6,MegaCorp,China,2039,47,4559,Fail
Home,SKU13002,188,Out of Stock,575,28796,Teen,115,20,76,11,DHL,84.85,Global Supplies Inc.,China,8349,24,9384,Recheck
Sports,SKU13003,425,In Stock,540,47988,Senior,348,9,74,1,FedEx,62.55,SupplyHub,Egypt,2541,44,7307,Fail
Toys,SKU13004,98,In Stock,971,47122,Adult,119,3,52,2,UPS,82.4,FastTrack Ltd.,India,4822,48,4583,Pass
Toys,SKU13005,50,Out of Stock,420,48218,Senior,144,17,9,1,USPS,32.68,MegaCorp,USA,2874,22,1254,Recheck
Sports,SKU13006,206,Out of Stock,163,40497,Adult,452,16,44,2,UPS,28.91,Prime Distributors,USA,671,5,717,Fail
Sports,SKU13007,436,In Stock,779,2456,Adult,252,21,99,9,UPS,59.35,SupplyHub,Germany,7787,18,8048,Fail
Clothing,SKU13008,17,Limited,571,17860,Teen,275,12,27,13,USPS,8.31,MegaCorp,China,1417,55,8919,Fail
Sports,SKU13009,136,In Stock,789,1758,Adult,71,23,73,11,FedEx,11.3,FastTrack Ltd.,India,8056,58,2388,Pass
Clothing,SKU13010,202,Out of Stock,457,24953,Senior,362,1,81,10,Aramex,58.49,MegaCorp,India,642,44,6264,Recheck
Home,SKU13011,351,Limited,273,37510,Adult,156,28,24,5,Aramex,13.97,Global Supplies Inc.,Germany,968,35,9229,Pass
Home,SKU13012,162,Out of Stock,392,30126,Adult,21,21,92,12,DHL,89.17,MegaCorp,Germany,5467,22,9517,Pass
Electronics,SKU13013,115,In Stock,229,36258,Adult,82,5,54,3,FedEx,48.57,MegaCorp,Egypt,8776,16,5581,Pass
Electronics,SKU13014,58,Out of Stock,107,41324,Teen,267,7,65,9,DHL,25.63,FastTrack Ltd.,Egypt,5746,14,1817,Recheck
Electronics,SKU13015,7,In Stock,943,23973,Senior,45,26,46,8,FedEx,93.66,Prime Distributors,China,6620,14,6553,Pass
Electronics,SKU13016,458,In Stock,505,18417,Senior,118,5,27,11,DHL,18.14,SupplyHub,Germany,1572,40,718,Recheck
Home,SKU13017,374,In Stock,791,41579,Adult,498,10,71,5,UPS,44.57,Prime Distributors,India,735,21,4574,Fail
Clothing,SKU13018,213,Limited,585,22463,Teen,195,12,87,8,UPS,53.99,Prime Distributors,India,2496,9,6233,Recheck
Toys,SKU13019,483,In Stock,780,42315,Teen,45,17,47,8,USPS,71.66,Prime Distributors,Egypt,9426,14,9533,Pass
Sports,SKU13020,121,Out of Stock,651,28860,Adult,402,4,24,5,USPS,27.01,MegaCorp,India,6345,49,8472,Recheck
Sports,SKU13021,340,In Stock,841,44493,Teen,93,7,50,5,USPS,63.04,FastTrack Ltd.,USA,8374,29,5015,Pass
Sports,SKU13022,99,Out of Stock,119,41806,Senior,436,9,44,6,UPS,14.87,FastTrack Ltd.,India,740,8,8393,Recheck
Sports,SKU13023,289,In Stock,452,32468,Adult,27,26,14,1,DHL,46.04,Prime Distributors,USA,6982,6,9247,Pass
Toys,SKU13024,136,In Stock,322,2888,Teen,370,16,73,3,DHL,82.24,Prime Distributors,China,2187,30,8160,Recheck
Clothing,SKU13025,266,In Stock,944,31974,Senior,218,6,83,1,Aramex,53.5,Global Supplies Inc.,India,6074,34,6335,Pass
Home,SKU13026,154,In Stock,971,7141,Senior,212,22,95,6,UPS,52.68,FastTrack Ltd.,Egypt,3593,30,5891,Recheck
Sports,SKU13027,47,In Stock,118,2260,Adult,402,6,7,12,UPS,21.69,MegaCorp,Egypt,1483,21,3431,Fail
Clothing,SKU13028,279,In Stock,814,45042,Senior,209,21,95,10,USPS,65.62,SupplyHub,China,2629,32,1070,Recheck
Sports,SKU13029,14,In Stock,847,20676,Senior,256,23,62,8,DHL,76.85,MegaCorp,Egypt,9292,46,9753,Fail
Home,SKU13030,320,Out of Stock,281,8400,Adult,279,7,53,8,USPS,14.6,Global Supplies Inc.,Germany,1768,31,5685,Recheck
Clothing,SKU13031,65,In Stock,575,17161,Adult,474,16,75,6,DHL,94.53,Prime Distributors,Egypt,9391,16,2516,Pass
Electronics,SKU13032,180,In Stock,846,46780,Teen,477,28,17,10,Aramex,25.96,Global Supplies Inc.,Germany,776,41,6737,Pass
Sports,SKU13033,23,In Stock,32,20480,Senior,31,21,23,10,FedEx,26.78,Prime Distributors,Germany,5281,11,7408,Fail
Home,SKU13034,361,In Stock,60,12718,Senior,459,17,61,6,Aramex,83.15,Prime Distributors,Germany,8240,4,5250,Pass
Sports,SKU13035,442,In Stock,293,6214,Senior,376,9,45,4,Aramex,15.84,Prime Distributors,China,6749,28,2158,Fail
Sports,SKU13036,306,In Stock,965,20139,Adult,489,12,5,8,UPS,18.3,FastTrack Ltd.,China,1538,24,9090,Fail
Toys,SKU13037,222,In Stock,883,41045,Teen,113,10,27,11,USPS,93.71,FastTrack Ltd.,China,4210,10,3336,Pass
Electronics,SKU13038,165,Limited,536,41000,Adult,53,15,13,1,USPS,52.56,FastTrack Ltd.,Germany,921,27,4913,Pass
Sports,SKU13039,378,Out of Stock,326,45412,Senior,177,26,92,5,UPS,27.01,Global Supplies Inc.,China,7147,52,4434,Fail
Clothing,SKU13040,392,In Stock,432,33714,Senior,35,29,47,8,Aramex,71.56,Global Supplies Inc.,China,7655,34,877,Fail
Home,SKU13041,281,In Stock,195,14962,Teen,399,12,29,3,DHL,11.41,SupplyHub,Egypt,9038,59,263,Pass
Clothing,SKU13042,482,In Stock,577,7530,Teen,107,6,46,6,Aramex,9.95,MegaCorp,Germany,2622,55,7343,Fail
Sports,SKU13043,331,In Stock,279,29277,Teen,266,27,33,12,UPS,64.32,SupplyHub,Germany,2027,5,915,Fail
Toys,SKU13044,293,Limited,619,34157,Adult,2,26,53,6,UPS,26.41,MegaCorp,USA,4311,23,8032,Fail
Toys,SKU13045,463,Out of Stock,856,3593,Adult,326,6,65,10,USPS,79.11,Global Supplies Inc.,Germany,4561,22,1624,Fail
Electronics,SKU13046,183,Limited,543,46661,Teen,323,23,47,7,DHL,68.76,SupplyHub,China,5094,34,2352,Fail
Clothing,SKU13047,74,In Stock,52,39436,Senior,470,9,92,13,UPS,24.76,SupplyHub,Egypt,6298,2,5102,Pass
Toys,SKU13048,183,Out of Stock,161,35393,Teen,287,18,60,13,DHL,13.86,MegaCorp,Germany,8432,10,9339,Pass
Clothing,SKU13049,62,In Stock,144,37338,Teen,86,25,60,8,FedEx,53.36,Prime Distributors,India,9323,20,853,Recheck
Home,SKU13050,309,Out of Stock,268,19381,Senior,258,28,28,10,DHL,29.66,Global Supplies Inc.,Egypt,8853,3,6656,Fail
Home,SKU13051,339,In Stock,544,655,Teen,27,28,27,8,DHL,45.86,MegaCorp,India,3440,32,9083,Fail
Clothing,SKU13052,389,In Stock,381,19955,Senior,55,11,44,9,UPS,73.53,MegaCorp,Egypt,8941,44,3747,Recheck
Electronics,SKU13053,412,In Stock,560,15692,Teen,53,17,87,3,FedEx,22.4,MegaCorp,India,491,11,3665,Fail
Electronics,SKU13054,115,In Stock,553,46572,Teen,29,7,98,1,USPS,27.93,SupplyHub,China,3378,53,4171,Fail
Toys,SKU13055,322,Out of Stock,530,6350,Senior,212,18,37,11,USPS,69.13,FastTrack Ltd.,USA,1694,11,6857,Recheck
Toys,SKU13056,75,In Stock,937,9544,Senior,47,4,27,13,Aramex,47.42,FastTrack Ltd.,China,6966,35,9257,Recheck
Electronics,SKU13057,180,In Stock,608,37520,Teen,160,5,24,2,DHL,76.45,FastTrack Ltd.,Germany,820,41,2408,Pass
Toys,SKU13058,437,In Stock,616,481,Teen,332,25,67,2,FedEx,24.78,Global Supplies Inc.,Germany,4611,4,2044,Pass
Home,SKU13059,389,In Stock,129,41686,Adult,36,18,48,8,Aramex,94.54,FastTrack Ltd.,Egypt,4097,59,2497,Pass
Home,SKU13060,56,In Stock,95,27873,Teen,215,18,6,10,DHL,75.38,FastTrack Ltd.,Germany,8251,40,7010,Recheck
Electronics,SKU13061,293,In Stock,821,48891,Senior,95,25,18,1,UPS,10.01,FastTrack Ltd.,Germany,8908,29,9164,Pass
Clothing,SKU13062,401,In Stock,831,16741,Adult,341,14,7,13,Aramex,65.9,MegaCorp,USA,308,26,8222,Fail
Home,SKU13063,169,In Stock,541,29220,Teen,240,13,74,7,FedEx,95.39,Global Supplies Inc.,Egypt,190,16,6755,Pass
Home,SKU13064,499,In Stock,961,1201,Adult,480,29,79,7,DHL,6.35,Global Supplies Inc.,USA,9753,5,5829,Fail
Electronics,SKU13065,209,Out of Stock,287,26844,Teen,81,23,19,9,DHL,21.65,SupplyHub,Egypt,8669,38,3733,Pass
Toys,SKU13066,305,Limited,383,32041,Teen,442,25,44,6,Aramex,85.1,FastTrack Ltd.,China,5461,48,3310,Recheck
Home,SKU13067,129,In Stock,947,42617,Adult,39,23,72,6,FedEx,31.42,Prime Distributors,Egypt,8731,1,5482,Fail
Sports,SKU13068,138,In Stock,167,21286,Teen,257,13,13,12,DHL,29.42,FastTrack Ltd.,Egypt,6293,18,3081,Recheck
Toys,SKU13069,88,In Stock,279,514,Senior,187,1,15,11,USPS,92.9,SupplyHub,USA,7623,12,4307,Recheck
Clothing,SKU13070,93,In Stock,380,33720,Teen,401,18,40,5,USPS,58.67,MegaCorp,Germany,6337,22,1145,Pass
Home,SKU13071,127,In Stock,317,17792,Senior,132,1,95,6,UPS,86.6,Prime Distributors,Egypt,7331,56,1422,Recheck
Home,SKU13072,445,In Stock,941,45059,Adult,180,1,87,1,DHL,58.99,MegaCorp,China,3572,35,2603,Recheck
Clothing,SKU13073,200,Limited,724,38093,Adult,324,22,54,9,USPS,15.8,Prime Distributors,Egypt,8023,43,2732,Pass
Clothing,SKU13074,254,In Stock,279,46356,Adult,341,20,33,4,USPS,22.03,MegaCorp,India,4050,44,3579,Fail
Sports,SKU13075,461,In Stock,266,19038,Senior,182,18,58,11,Aramex,88.3,MegaCorp,Egypt,4225,19,3803,Fail
Toys,SKU13076,389,In Stock,903,25085,Teen,168,28,74,9,FedEx,81.62,MegaCorp,Egypt,448,57,2677,Recheck
Electronics,SKU13077,273,In Stock,801,35855,Adult,24,11,13,7,Aramex,99.49,FastTrack Ltd.,USA,4541,17,6138,Pass
Clothing,SKU13078,343,Limited,221,11352,Teen,364,27,34,13,USPS,60.99,Global Supplies Inc.,Egypt,8107,27,1768,Pass
Home,SKU13079,104,In Stock,414,13686,Teen,319,27,29,5,FedEx,85.99,Global Supplies Inc.,USA,9286,29,6350,Pass
Home,SKU13080,425,Out of Stock,321,15270,Adult,261,4,71,10,USPS,12.39,SupplyHub,USA,3937,41,2808,Fail
Electronics,SKU13081,324,In Stock,561,386,Senior,51,5,51,10,DHL,61.72,MegaCorp,China,5817,21,2198,Pass
Toys,SKU13082,5,In Stock,890,33599,Teen,149,16,7,12,DHL,54.57,SupplyHub,Egypt,7056,59,9079,Recheck
Toys,SKU13083,69,In Stock,550,39153,Teen,260,5,84,4,FedEx,98.59,FastTrack Ltd.,China,7524,5,2473,Pass
Home,SKU13084,108,In Stock,28,3361,Senior,497,5,98,4,FedEx,87.26,MegaCorp,India,3680,12,799,Pass
Home,SKU13085,184,Limited,49,33748,Adult,267,28,83,1,USPS,33.01,Global Supplies Inc.,Egypt,5578,46,4813,Recheck
Toys,SKU13086,488,Out of Stock,162,47035,Senior,216,10,79,13,USPS,77.92,SupplyHub,China,5106,18,4606,Pass
Clothing,SKU13087,452,In Stock,316,48133,Adult,460,11,91,8,USPS,11.25,Prime Distributors,China,6370,58,1096,Recheck
Toys,SKU13088,353,In Stock,702,27053,Senior,478,29,2,3,DHL,53.61,Prime Distributors,Egypt,2714,20,4193,Fail
Electronics,SKU13089,231,Out of Stock,258,38208,Senior,358,22,72,1,UPS,79.93,SupplyHub,Germany,9849,12,3966,Fail
Clothing,SKU13090,184,Out of Stock,62,20611,Teen,328,12,89,6,FedEx,64.29,Global Supplies Inc.,China,2872,54,117,Pass
Clothing,SKU13091,198,In Stock,48,21188,Senior,394,7,17,4,FedEx,63.8,SupplyHub,Germany,5636,45,7409,Pass
Electronics,SKU13092,338,In Stock,280,40587,Senior,427,16,43,2,UPS,56.98,Global Supplies Inc.,China,9798,17,3588,Fail
Sports,SKU13093,130,In Stock,792,47406,Senior,457,13,88,11,USPS,7.02,Global Supplies Inc.,Germany,1186,29,4803,Pass
Home,SKU13094,376,In Stock,515,44647,Adult,180,29,96,3,Aramex,33.12,FastTrack Ltd.,China,7864,26,8488,Recheck
Toys,SKU13095,186,In Stock,90,37159,Adult,40,25,60,4,USPS,62.54,Global Supplies Inc.,China,2263,27,5901,Fail
Toys,SKU13096,145,In Stock,882,20668,Senior,194,3,99,1,UPS,22.98,SupplyHub,India,1269,6,4057,Recheck
Home,SKU13097,295,In Stock,805,49677,Adult,102,12,82,11,UPS,95.64,Global Supplies Inc.,Germany,1747,34,8542,Pass
Electronics,SKU13098,187,In Stock,25,6383,Teen,61,22,82,6,Aramex,83.29,FastTrack Ltd.,Egypt,2015,2,3491,Pass
Electronics,SKU13099,291,Out of Stock,624,35853,Adult,25,12,32,12,DHL,55.72,MegaCorp,India,5139,26,2032,Pass
Toys,SKU13100,12,Out of Stock,684,27280,Teen,132,18,15,12,UPS,10.67,MegaCorp,Germany,7956,34,1128,Pass
Electronics,SKU13101,396,In Stock,502,43001,Senior,256,17,38,4,Aramex,56.94,FastTrack Ltd.,Germany,186,31,6452,Recheck
Toys,SKU13102,382,In Stock,581,31355,Teen,241,29,61,11,FedEx,84.96,Global Supplies Inc.,Egypt,3641,38,1745,Pass
Electronics,SKU13103,143,Out of Stock,164,9426,Adult,156,21,65,2,Aramex,33.68,FastTrack Ltd.,USA,5214,40,183,Fail
Home,SKU13104,436,Out of Stock,645,32650,Adult,203,23,15,11,Aramex,81.99,FastTrack Ltd.,Germany,7160,10,9715,Recheck
Toys,SKU13105,210,Out of Stock,465,14311,Senior,106,29,54,9,USPS,50.97,FastTrack Ltd.,Egypt,4369,56,8957,Pass
Sports,SKU13106,236,In Stock,315,39129,Senior,72,7,27,5,DHL,87.55,Prime Distributors,USA,2903,26,368,Fail
Clothing,SKU13107,397,In Stock,729,2478,Teen,201,19,28,13,UPS,28.76,SupplyHub,China,5025,14,1193,Recheck
Sports,SKU13108,433,In Stock,594,13719,Senior,153,16,38,3,Aramex,59.78,FastTrack Ltd.,USA,8463,52,8988,Recheck
Electronics,SKU13109,294,In Stock,127,694,Adult,431,29,9,5,FedEx,79.8,Prime Distributors,India,4242,34,4405,Pass
Sports,SKU13110,408,Out of Stock,279,34504,Adult,373,21,18,10,FedEx,40.56,Global Supplies Inc.,Egypt,1027,27,6704,Pass
Sports,SKU13111,215,In Stock,829,17734,Teen,275,28,57,9,FedEx,80.12,FastTrack Ltd.,Germany,3366,9,2186,Pass
Toys,SKU13112,416,In Stock,550,45456,Teen,393,19,92,7,FedEx,34.69,MegaCorp,Egypt,6706,52,8293,Recheck
Sports,SKU13113,38,In Stock,820,5577,Senior,211,10,93,13,DHL,60.8,SupplyHub,Egypt,2329,37,605,Pass
Home,SKU13114,470,Out of Stock,49,47215,Adult,380,1,47,10,DHL,16.59,FastTrack Ltd.,USA,8099,27,4937,Fail
Electronics,SKU13115,102,In Stock,55,17273,Adult,61,27,88,5,FedEx,50.01,Prime Distributors,USA,8374,56,3896,Fail
Electronics,SKU13116,306,Out of Stock,118,18431,Adult,499,1,35,9,Aramex,95.37,Prime Distributors,China,6230,36,7642,Fail
Toys,SKU13117,360,Out of Stock,248,38318,Adult,358,14,53,10,Aramex,5.06,Prime Distributors,Germany,2003,49,5969,Recheck
Home,SKU13118,283,In Stock,420,33737,Senior,102,18,15,13,Aramex,22.99,FastTrack Ltd.,India,3470,12,4533,Recheck
Toys,SKU13119,486,In Stock,976,12441,Teen,57,9,78,13,FedEx,94.79,FastTrack Ltd.,USA,595,57,2381,Pass
Electronics,SKU13120,335,In Stock,624,40282,Adult,237,19,52,4,DHL,54.93,Global Supplies Inc.,Germany,4734,32,3714,Fail
Home,SKU13121,324,Limited,352,43595,Adult,494,1,29,10,DHL,39.38,FastTrack Ltd.,Germany,4445,23,4173,Recheck
Clothing,SKU13122,196,In Stock,600,22595,Adult,147,21,77,3,DHL,90.0,SupplyHub,Egypt,3190,46,4594,Recheck
Toys,SKU13123,469,In Stock,507,24986,Adult,317,15,39,5,Aramex,13.45,SupplyHub,India,7558,3,1021,Fail
Clothing,SKU13124,9,In Stock,974,32019,Teen,332,6,55,12,DHL,20.94,SupplyHub,Germany,3594,31,1969,Recheck
